Aerodromo_de_Destino,Aerodromo_de_Origem,CLS,Categoria_da_Aeronave,Classificacao_da_Ocorrência,Danos_a_Aeronave,Data_da_Ocorrencia,Descricao_do_Tipo,Fase_da_Operacao,Historico,Hora_da_Ocorrência,ICAO,Ilesos_Passageiros,Ilesos_Tripulantes,Latitude,Lesoes_Desconhecidas_Passageiros,Lesoes_Desconhecidas_Terceiros,Lesoes_Desconhecidas_Tripulantes,Lesoes_Fatais_Passageiros,Lesoes_Fatais_Terceiros,Lesoes_Fatais_Tripulantes,Lesoes_Graves_Passageiros,Lesoes_Graves_Terceiros,Lesoes_Graves_Tripulantes,Lesoes_Leves_Passageiros,Lesoes_Leves_Terceiros,Lesoes_Leves_Tripulantes,Longitude,Matricula,Modelo,Municipio,Nome_do_Fabricante,Numero_da_Ficha,Numero_da_Ocorrencia,Numero_de_Assentos,Operacao,Operador,Operador_Padronizado,PMD,PSSO,Regiao,Tipo_ICAO,Tipo_de_Aerodromo,Tipo_de_Ocorrencia,UF
SBCG ,SBGO ,L2P,TPP,Incidente Grave,Leve,2023-03-15,EXCURSÃO DE PISTA,Corrida após pouso,"A aeronave decolou do Aeroporto Santa Genoveva (SBGO), Goiânia, GO com destino ao Aeroporto de Campo Grande (SBCG), Campo Grande, MS, para um voo privado com um piloto a bordo e dois passageiros. Durante o voo, o piloto coordenou com o Centro de Controle modificação de destino para o Aeródromo General Leite de Castro (SWLC), Rio Verde, GO. Durante a corrida pós pouso na pista 22, por volta das 12h50min (UTC), houve recolhimento do trem de pouso principal esquerdo e seguinte saída pela lateral da pista.",12:50:00,SWLC,2,1,"-17,5005",null,null,null,null,null,null,null,null,null,null,null,null,"-50,5722",PTRQI,EMB-810D,RIO VERDE,NEIVA,2023494881,36709,7,Voo Privado,CARLOS AUGUSTO DE OLIVEIRA BOTELHO,CARLOS AUGUSTO DE OLIVEIRA BOTELHO,2155,verdadeiro,Centro-Oeste,PA34,Público,RE,GO
*** ,*** ,L1P,S05,Acidente,Substancial,2023-01-17,INDETERMINADO,Voo a baixa altura,"A aeronave decolou da área de pouso para uso aeroagrícola, Pista Fazenda FSW (ZZZZ), Ribas do Rio Pardo, MS, a fim de realizar um voo local de aplicação de adubo sólido em plantação de eucaliptos. Durante a aplicação a aeronave colidiu contra um obstáculo e realizou o pouso de emergência. A notificação ocorreu mais de 24h após a ocorrência (dia 18/01 às 20h). As primeiras fotos só foram enviadas no dia 19/01 por volta das 13h. A ação inicial teve início no dia 20/01 por volta de 09h, sendo recebida a FNCO apenas nesse dia. A DRACCO estava presente e por meio do Delegado Alcides realizou a apreensão da aeronave, por suspeita de ilícito. O operador se negou a proceder as análises dos destroços por conta dos custos. Na notificação por escrito, foi informado que a aeronave teve falha de motor, porém durante ação inicial o piloto informou que colidiu com obstáculo e posterior falha de motor.",22:10:00,Fora de Aeródromo,null,1,"-20,3451",null,null,null,null,null,null,null,null,null,null,null,null,"-53,4903",PRAJM,S-2R,RIBAS DO RIO PARDO,AYRES CORPORATION,2023774567,36047,1,Operação Agrícola,MORANDI AVIACAO AGRICOLA LTDA,MORANDI AVIACAO AGRICOLA LTDA,2722,verdadeiro,Centro-Oeste,SS2P,-,UNK,MS
SJJJ,SBTU,L1P,TPP,Ocorrência Anormal,Nenhum,2022-09-02,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Cruzeiro,"A aeronave decolou do Aeródromo de Tucuruí (SBTU), Tucuruí, PA, por volta das 18h29min (UTC), com destino ao Aeródromo Aeroxingu (SJJJ), Altamira, PA, a fim de realizar voo de transporte de passageiro, com dois pilotos e um passageiro a bordo. Durante tentativa de contato da aeronave com o APP-SN, este só recebia a portadora. A aeronave pousou no aeródromo de alternativa, Aeroporto Maestro Wilson Fonseca (SBSN), Santarém, PA, sem intercorrências.",20:09:00,SBSN,1,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,PPOLA,SR22,SANTARÉM,CIRRUS DESIGN,2022201757,33888,4,Voo Privado,ALEXANDRE FRANCA SIQUEIRA,ALEXANDRE FRANCA SIQUEIRA,1542,verdadeiro,Norte,SR22,Público,SCF-NP,PA
SBBR,SBBR,L1T,ADD,Incidente,Leve,2023-05-31,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Corrida após pouso,"A aeronave decolou do aeródromo Presidente Juscelino Kubitschek (SBBR), Brasília, DF, com dois tripulantes a bordo, a fim de realizar voo local de instrução. Por ocasião do pouso, durante a desaceleração, ocorreu o estouro do pneu esquerdo da aeronave.",20:25:00,SBBR,null,2,-155216,null,null,null,null,null,null,null,null,null,null,null,null,"-47,5507",PPNBS,AT-802,BRASÍLIA ,AIR TRACTOR,202386459863,37609,2,Voo de Instrução,CORPO DE BOMBEIROS MIL. DO DIST. FEDERAL,CORPO DE BOMBEIROS MIL. DO DIST. FEDERAL,7258,verdadeiro,Centro-Oeste,AT8T,Público,SCF-NP,DF
SBMT,SWFV,L1P,AMD,Incidente,Nenhum,2023-09-22,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Cruzeiro,"A aeronave decolou do aeródromo Terramare (SWFV), Guapé, MG, com destino ao aeródromo Campo de Marte (SBMT), São Paulo, SP, para um voo de natureza privada, com um piloto e três passageiros a bordo. Durante a fase de cruzeiro, houve a interrupção do carregamento da bateria e o acendimento da luz do alternador.",20:50:00,SBMT,3,1,"-23,3024",null,null,null,null,null,null,null,null,null,null,null,null,"-46,3802",PRZLV,RV-10,	SÃO PAULO,FLYER INDÚSTRIA AERONÁUTICA LTDA.,202348672265,38888,5,Voo Privado,RAFAEL TADEU COLLIN DIAS,RAFAEL TADEU COLLIN DIAS,1224,falso,Sudeste,ZZZZ,Público,SCF-NP,SP
SBPG ,SBKP ,L2T,TPR,Incidente,Nenhum,2023-01-30,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Subida,"A aeronave decolou do aeroporto de Viracopos (SBKP), Campinas, SP, com destino ao aeródromo Comandante Antônio Amilton Beraldo (SBPG), Ponta Grossa, PR, com 04 (quatro) tripulantes e 59 (cinquenta e nove) passageiros a bordo, a fim de realizar transporte aéreo público regular. Durante a fase de subida, a aeronave apresentou a mensagem de falha do motor 1. Após a execução de procedimentos previstos em manual, a aeronave retornou para SBKP.",06:00:00,SBKP,59,4,"-23,0025",null,null,null,null,null,null,null,null,null,null,null,null,"-47,0804",PRAQM,ATR-72-212A,CAMPINAS,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,2023548113,36290,75,Voo Regular,AZUL LINHAS AEREAS BRASILEIRAS S.A,AZUL,23000,verdadeiro,Sudeste,AT76,Público,SCF-PP,SP
SBCA,SBKP,L2J,TPR,Incidente,Nenhum,2021-03-12,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Subida,"A aeronave decolou do Aeródromo de Viracopos (SBKP), Campinas, SP, com destino ao Aeródromo Coronel Adalberto Mendes da Silva (SBCA), Cascavel, PR, a fim de realizar transporte aéreo público regular, com cinco tripulantes e sessenta e nove passageiros a bordo. Durante a fase de subida, a aeronave apresentou a indicação “ FLT CTRL FAULT / RADALT 1 FAIL”. A tripulação efetuou os procedimentos previstos no QRH e decidiu retornar para o aeródromo de origem, sem declarar emergência. O pouso foi realizado sem intercorrências. Não houve danos à aeronave. Todos a bordo saíram ilesos.",22:30,SBKP,69,5,"-23,0069",null,null,null,null,null,null,null,null,null,null,null,null,"-47,1344",PSAEC,ERJ 190-400,CAMPINAS,EMBRAER,202140875,27483,143,Voo Regular,AZUL LINHAS AEREAS BRASILEIRAS S.A,AZUL,61500,verdadeiro,Sudeste,E295,Público,SCF-NP,SP
SBUL,SBBH,L2T,TPX,Incidente,Nenhum,2022-05-19,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Subida,"A aeronave decolou do aeródromo da Pampulha - Carlos Drummond de Andrade (SBBH), Belo Horizonte, MG, com destino ao aeródromo Ten Cel Av César Bombonato (SBUL), Uberlândia, MG, a fim de efetuar transporte aeromédico, com dois pilotos e dois passageiros a bordo. Durante a subida ocorreu o acendimento da luz de altitude de cabine. O voo retornou para o aeródromo de origem.",20:13,Fora de Aeródromo,2,2,"-19,8603",null,null,null,null,null,null,null,null,null,null,null,null,"-44,6817",PSFMG,B200,PARÁ DE MINAS,RAYTHEON AIRCRAFT,2022564042,32207,9,Táxi Aéreo,TÁXI AÉREO HÉRCULES LTDA,TÁXI AÉREO HÉRCULES LTDA,5670,verdadeiro,Sudeste,BE20,-,SCF-NP,MG
SBSV,SNIP,L2P,TPP,Incidente,Nenhum,2021-04-13,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Cruzeiro,"A aeronave decolou do Aeródromo de Itapetinga (SNIP), BA, com destino ao Aeródromo Deputado Luís Eduardo Magalhães (SBSV), Salvador, BA, por volta das 09h30min (UTC), a fim de realizar voo privado, com um piloto a bordo. Durante o voo de cruzeiro o motor esquerdo apresentou perda de potência. O tripulante declarou emergência e pousou na localidade de destino com o motor esquerdo reduzido. O pouso transcorreu normalmente. A aeronave não teve danos. O piloto saiu ileso.",10:10,SBSV,null,1,"-12,9086",null,null,null,null,null,null,null,null,null,null,null,null,"-38,3225",PTOOJ,58,SALVADOR,BEECH AIRCRAFT,202199912,27886,6,Voo Privado,PAULO SERGIO PARANHOS DE MAGALHAES,PAULO SERGIO PARANHOS DE MAGALHAES,2449,verdadeiro,Nordeste,BE58,Público,SCF-PP,BA
SBKP,SBRJ,L2J,TPR,Incidente,Nenhum,2022-04-09,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Subida,"A aeronave decolou do Aeródromo Santos Dumont (SBRJ), Rio de Janeiro, RJ, com destino ao Aeródromo de Viracopos (SBKP), Campinas, SP com 05 (cinco) tripulantes e 75 (setenta e cinco) passageiros a bordo, a fim de realizar transporte público aéreo regular. Durante a fase de subida, próximo ao FL 200, a aeronave apresentou falha no aquecimento do para-brisa do lado direito, ocasionando uma trinca no mesmo. A tripulação decidiu alternar para o Aeródromo Antônio Carlos Jobim (SBGL), Rio de Janeiro, RJ, onde pousou sem maiores intercorrências.",10:00,SBGL,75,5,"-22,81",null,null,null,null,null,null,null,null,null,null,null,null,"-43,2506",PRAYE,ERJ 190-200 LR,RIO DE JANEIRO,EMBRAER,2022632662,31787,126,Voo Regular,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,50790,verdadeiro,Sudeste,E195,Público,SCF-NP,RJ
