order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id
193,1366,4,2016-04-28,2016-04-30,2016-04-30,1,3
382,199,4,2016-08-20,2016-08-23,2016-08-23,2,6
787,700,4,2017-03-18,2017-03-20,2017-03-19,3,9
1096,589,4,2017-08-27,2017-08-29,2017-08-29,1,2
1181,1022,4,2017-10-13,2017-10-16,2017-10-15,2,7
1475,112,4,2018-03-30,2018-04-01,2018-03-31,2,6
1567,89,2,2018-04-21,2018-04-21,NULL,1,2
208,815,4,2016-05-06,2016-05-07,2016-05-09,2,7
418,88,4,2016-09-04,2016-09-05,2016-09-05,2,6
513,155,4,2016-10-19,2016-10-21,2016-10-21,2,6
703,417,4,2017-02-08,2017-02-09,2017-02-09,2,7
935,43,3,2017-06-10,2017-06-10,NULL,3,8
1524,37,1,2018-04-12,2018-04-12,NULL,2,6
169,99,4,2016-04-10,2016-04-11,2016-04-11,2,7
218,1179,4,2016-05-12,2016-05-14,2016-05-14,2,7
832,1215,4,2017-04-11,2017-04-12,2017-04-12,2,7
885,66,3,2017-05-13,2017-05-13,NULL,3,8
1063,198,4,2017-08-16,2017-08-19,2017-08-19,3,8
1107,1424,4,2017-09-02,2017-09-05,2017-09-05,2,7
1157,24,4,2017-10-01,2017-10-03,2017-10-04,1,3
1334,425,4,2018-01-07,2018-01-09,2018-01-10,2,6
1445,515,4,2018-03-17,2018-03-18,2018-03-20,2,7
243,802,4,2016-05-27,2016-05-30,2016-05-28,3,8
365,981,4,2016-08-13,2016-08-14,2016-08-15,2,6
932,804,4,2017-06-07,2017-06-08,2017-06-09,2,6
943,1025,4,2017-06-13,2017-06-15,2017-06-15,2,6
1248,1367,4,2017-11-16,2017-11-17,2017-11-18,1,3
1342,1393,4,2018-01-12,2018-01-13,2018-01-15,2,7
69,1413,4,2016-02-10,2016-02-12,2016-02-11,2,7
223,1368,4,2016-05-15,2016-05-16,2016-05-17,2,7
612,634,4,2016-12-16,2016-12-17,2016-12-17,2,7
665,29,4,2017-01-21,2017-01-22,2017-01-23,2,6
667,858,4,2017-01-22,2017-01-24,2017-01-25,2,7
826,45,4,2017-04-07,2017-04-10,2017-04-10,2,6
852,13,4,2017-04-21,2017-04-23,2017-04-22,3,9
862,1230,4,2017-04-27,2017-04-30,2017-04-29,3,8
939,1407,4,2017-06-11,2017-06-12,2017-06-14,2,6
1014,748,4,2017-07-19,2017-07-21,2017-07-21,2,6
1202,593,4,2017-10-24,2017-10-25,2017-10-25,2,6
1394,906,4,2018-02-14,2018-02-16,2018-02-16,3,8
1421,1176,4,2018-03-05,2018-03-07,2018-03-07,2,7
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7
52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2
130,1049,4,2016-03-19,2016-03-22,2016-03-20,2,6
296,1245,4,2016-07-04,2016-07-07,2016-07-06,2,6
444,30,4,2016-09-19,2016-09-20,2016-09-21,1,2
776,490,4,2017-03-13,2017-03-15,2017-03-16,2,6
1201,201,4,2017-10-23,2017-10-24,2017-10-24,2,6
1328,1083,4,2018-01-02,2018-01-03,2018-01-03,2,6
1470,505,4,2018-03-28,2018-03-31,2018-03-31,2,7
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6
170,1200,4,2016-04-10,2016-04-11,2016-04-13,2,7
182,854,4,2016-04-18,2016-04-19,2016-04-20,2,6
388,1080,4,2016-08-21,2016-08-24,2016-08-23,3,8
735,20,3,2017-02-27,2017-02-27,NULL,3,9
825,10,4,2017-04-07,2017-04-08,2017-04-09,2,7
964,404,4,2017-06-20,2017-06-22,2017-06-22,2,7
1072,47,3,2017-08-18,2017-08-18,NULL,1,3
1245,1166,4,2017-11-13,2017-11-16,2017-11-14,2,7
1294,947,4,2017-12-11,2017-12-13,2017-12-14,1,2
1351,1016,4,2018-01-16,2018-01-19,2018-01-19,2,7
209,514,4,2016-05-07,2016-05-08,2016-05-08,2,6
425,843,4,2016-09-08,2016-09-11,2016-09-11,2,6
1071,602,4,2017-08-17,2017-08-20,2017-08-18,3,8
1175,292,4,2017-10-09,2017-10-11,2017-10-12,2,6
7,324,4,2016-01-04,2016-01-07,2016-01-05,2,6
116,471,4,2016-03-10,2016-03-11,2016-03-11,2,7
197,127,4,2016-04-30,2016-05-03,2016-05-03,2,7
245,223,4,2016-05-29,2016-05-31,2016-05-30,2,7
640,1093,4,2017-01-06,2017-01-08,2017-01-07,2,6
686,380,4,2017-02-01,2017-02-03,2017-02-04,2,7
762,572,4,2017-03-08,2017-03-09,2017-03-09,2,6
944,138,4,2017-06-14,2017-06-15,2017-06-17,1,3
947,278,4,2017-06-15,2017-06-18,2017-06-17,1,3
1097,1311,4,2017-08-27,2017-08-30,2017-08-28,2,6
1162,888,4,2017-10-01,2017-10-03,2017-10-03,2,6
1174,1109,4,2017-10-08,2017-10-10,2017-10-11,2,6
1274,1364,4,2017-11-28,2017-11-29,2017-12-01,2,7
1295,37,4,2017-12-11,2017-12-12,2017-12-14,2,7
1370,115,4,2018-01-28,2018-01-29,2018-01-29,2,7
1371,937,4,2018-01-29,2018-01-30,2018-02-01,2,7
1451,822,4,2018-03-19,2018-03-22,2018-03-20,2,6
1529,50,1,2018-04-12,2018-04-12,NULL,3,8
1577,48,1,2018-04-23,2018-04-23,NULL,2,7
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7
265,682,4,2016-06-10,2016-06-12,2016-06-11,2,7
635,520,4,2016-12-30,2017-01-02,2016-12-31,2,6
715,12,3,2017-02-15,2017-02-15,NULL,2,6
989,1145,4,2017-07-02,2017-07-04,2017-07-03,2,6
1030,161,4,2017-07-29,2017-07-30,2017-07-31,2,6
1311,1021,4,2017-12-24,2017-12-26,2017-12-27,2,6
1345,1037,4,2018-01-14,2018-01-15,2018-01-15,2,6
1528,20,1,2018-04-12,2018-04-12,NULL,3,8
140,1264,4,2016-03-23,2016-03-26,2016-03-26,2,7
567,1430,4,2016-11-22,2016-11-23,2016-11-23,1,2
845,662,4,2017-04-17,2017-04-18,2017-04-18,2,7
937,73,4,2017-06-11,2017-06-14,2017-06-13,2,7
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6
290,202,4,2016-06-28,2016-06-29,2016-06-30,2,6
309,211,4,2016-07-11,2016-07-13,2016-07-13,2,6
314,1019,4,2016-07-15,2016-07-17,2016-07-17,2,7
553,913,4,2016-11-12,2016-11-13,2016-11-15,3,9
747,87,4,2017-03-03,2017-03-04,2017-03-05,1,3
892,651,4,2017-05-15,2017-05-18,2017-05-17,2,7
941,736,4,2017-06-12,2017-06-14,2017-06-14,1,2
981,687,4,2017-06-26,2017-06-29,2017-06-28,3,8
1122,1132,4,2017-09-12,2017-09-14,2017-09-14,2,6
1186,1120,4,2017-10-14,2017-10-16,2017-10-15,2,6
172,1079,4,2016-04-11,2016-04-12,2016-04-14,2,7
980,328,4,2017-06-26,2017-06-28,2017-06-27,3,9
1131,1178,4,2017-09-18,2017-09-20,2017-09-19,1,3
1183,216,4,2017-10-14,2017-10-17,2017-10-17,2,6
1425,126,4,2018-03-07,2018-03-09,2018-03-09,2,6
1443,972,4,2018-03-16,2018-03-17,2018-03-17,2,7
1589,40,2,2018-04-27,2018-04-27,NULL,1,3
239,13,3,2016-05-27,2016-05-27,NULL,3,9
287,133,4,2016-06-25,2016-06-26,2016-06-27,2,6
502,401,4,2016-10-12,2016-10-13,2016-10-13,3,9
555,212,4,2016-11-13,2016-11-14,2016-11-16,2,7
652,985,4,2017-01-12,2017-01-15,2017-01-13,3,9
908,402,4,2017-05-25,2017-05-28,2017-05-27,2,7
956,1184,4,2017-06-17,2017-06-19,2017-06-20,2,6
1017,168,4,2017-07-20,2017-07-21,2017-07-23,2,6
1459,9,4,2018-03-21,2018-03-22,2018-03-22,2,7
1502,83,2,2018-04-06,2018-04-06,NULL,2,6
285,319,4,2016-06-25,2016-06-26,2016-06-27,1,2
292,360,4,2016-06-29,2016-06-30,2016-07-02,3,9
643,901,4,2017-01-08,2017-01-09,2017-01-11,1,3
779,367,4,2017-03-15,2017-03-16,2017-03-18,2,6
1142,554,4,2017-09-23,2017-09-26,2017-09-26,1,3
1209,1342,4,2017-10-26,2017-10-27,2017-10-29,2,7
1318,75,4,2017-12-27,2017-12-30,2017-12-29,2,6
1391,914,4,2018-02-13,2018-02-14,2018-02-14,2,7
229,742,4,2016-05-19,2016-05-21,2016-05-20,2,6
363,834,4,2016-08-11,2016-08-12,2016-08-13,3,8
1083,1372,4,2017-08-20,2017-08-23,2017-08-23,2,6
1171,826,4,2017-10-05,2017-10-06,2017-10-08,2,6
198,640,4,2016-05-01,2016-05-04,2016-05-03,2,6
341,1357,4,2016-07-31,2016-08-03,2016-08-01,1,3
427,434,4,2016-09-09,2016-09-10,2016-09-11,1,2
1176,1111,4,2017-10-10,2017-10-13,2017-10-11,3,9
1247,426,4,2017-11-16,2017-11-18,2017-11-17,1,2
1306,28,4,2017-12-20,2017-12-21,2017-12-22,2,6
1361,1084,4,2018-01-22,2018-01-24,2018-01-23,2,7
280,638,4,2016-06-21,2016-06-22,2016-06-23,2,7
317,795,4,2016-07-17,2016-07-20,2016-07-19,2,7
633,1040,4,2016-12-28,2016-12-31,2016-12-30,3,8
807,1148,4,2017-03-30,2017-04-01,2017-04-02,2,6
920,966,4,2017-05-30,2017-06-01,2017-06-02,2,7
1084,2,4,2017-08-21,2017-08-24,2017-08-23,1,2
1099,1128,4,2017-08-28,2017-08-29,2017-08-30,2,6
1118,1023,4,2017-09-08,2017-09-11,2017-09-11,2,6
1252,110,4,2017-11-18,2017-11-20,2017-11-21,1,3
8,1204,4,2016-01-04,2016-01-05,2016-01-05,2,7
68,381,4,2016-02-10,2016-02-11,2016-02-13,2,6
279,378,4,2016-06-21,2016-06-22,2016-06-22,2,6
636,532,4,2017-01-03,2017-01-04,2017-01-05,1,2
690,1097,4,2017-02-03,2017-02-04,2017-02-06,1,2
910,342,4,2017-05-26,2017-05-28,2017-05-28,2,7
993,1415,4,2017-07-09,2017-07-11,2017-07-11,1,3
1086,220,4,2017-08-21,2017-08-23,2017-08-24,2,7
1377,1007,4,2018-02-01,2018-02-03,2018-02-03,2,7
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6
255,801,4,2016-06-03,2016-06-06,2016-06-05,2,7
362,187,4,2016-08-09,2016-08-11,2016-08-11,1,2
437,1085,4,2016-09-16,2016-09-18,2016-09-18,2,7
569,707,4,2016-11-23,2016-11-24,2016-11-25,2,6
1049,194,4,2017-08-09,2017-08-11,2017-08-10,1,2
1264,113,4,2017-11-24,2017-11-27,2017-11-25,2,6
126,1365,4,2016-03-16,2016-03-18,2016-03-18,2,7
691,1081,4,2017-02-04,2017-02-06,2017-02-06,2,7
911,887,4,2017-05-26,2017-05-29,2017-05-29,2,6
